Date,Actual,Goal
02/04/2023,14510,14230
03/04/2023,5868,14260
04/04/2023,112,14260
05/04/2023,8024,14260
06/04/2023,5037,13020
07/04/2023,12576,11430
08/04/2023,4706,11550
09/04/2023,5994,10870
10/04/2023,10488,9900
11/04/2023,5639,9960
12/04/2023,17983,9530
13/04/2023,2611,10380
14/04/2023,38140,9610
15/04/2023,19556,11610
16/04/2023,7316,13200
17/04/2023,6588,12620
18/04/2023,7183,11420
19/04/2023,9243,10580
20/04/2023,1496,10320
21/04/2023,9458,8560
22/04/2023,1401,8650
23/04/2023,9564,7930
24/04/2023,8141,8100
25/04/2023,13449,8110
26/04/2023,8110,9180
27/04/2023,8704,9080
28/04/2023,2612,9010
29/04/2023,17963,7730
30/04/2023,6006,8760
01/05/2023,11922,8490
02/05/2023,9109,8840
03/05/2023,12629,8900
04/05/2023,6859,9650
05/05/2023,10066,9370
06/05/2023,677,9440
07/05/2023,12741,9440
08/05/2023,1294,9770
09/05/2023,11651,8930
10/05/2023,11323,9210
11/05/2023,16433,9640
12/05/2023,3469,11000
13/05/2023,6498,10250
14/05/2023,7534,9500
15/05/2023,8065,9110
16/05/2023,8021,8910
17/05/2023,8907,8740
18/05/2023,11524,8760
19/05/2023,11342,9320
20/05/2023,11070,9730
21/05/2023,12017,10000
22/05/2023,18698,10410
23/05/2023,5831,12070
24/05/2023,11495,11450
25/05/2023,9102,11460
26/05/2023,10178,11230
27/05/2023,9922,11020
28/05/2023,17288,10800
29/05/2023,18299,11450
30/05/2023,1149,12820
31/05/2023,7198,12820
01/06/2023,20526,11700
02/06/2023,7636,12590
03/06/2023,25778,12440
04/06/2023,20796,13780
05/06/2023,15864,15190
06/06/2023,15686,12440
07/06/2023,16746,13090
08/06/2023,3234,13830
09/06/2023,13877,12770
10/06/2023,5153,12880
11/06/2023,793,12110
12/06/2023,9071,12110
13/06/2023,11485,11510
14/06/2023,18661,11510
15/06/2023,5077,12230
17/06/2023,15528,11520
18/06/2023,11267,11920
19/06/2023,8162,11860
20/06/2023,10058,11120
21/06/2023,12201,10910
22/06/2023,32979,11040
23/06/2023,15395,13040
24/06/2023,8947,13520
25/06/2023,10958,13070
26/06/2023,25599,12650
27/06/2023,30849,13950
28/06/2023,27366,15950
29/06/2023,29410,12440
30/06/2023,20735,14440
01/07/2023,18016,15700
02/07/2023,27414,16170
03/07/2023,24318,18170
04/07/2023,21151,19400
05/07/2023,24493,19750
06/07/2023,15205,12440
07/07/2023,2652,12440
08/07/2023,13434,11470
09/07/2023,11631,11670
10/07/2023,5756,11670
11/07/2023,4130,10490
12/07/2023,12888,9220
13/07/2023,23100,9590
14/07/2023,28213,11590
15/07/2023,25812,13590
16/07/2023,5140,15590
17/07/2023,3359,14550
18/07/2023,5970,12320
19/07/2023,5127,11050
20/07/2023,1471,9870
21/07/2023,3608,8190
22/07/2023,10007,7280
23/07/2023,10701,7560
24/07/2023,1844,8190
25/07/2023,8898,7560
26/07/2023,9340,7700
27/07/2023,13395,8030
28/07/2023,8730,9110
29/07/2023,8258,9080
30/07/2023,4280,8920
31/07/2023,3286,8000
01/08/2023,1923,7060
02/08/2023,17418,6040
03/08/2023,7724,7180
04/08/2023,8033,7290
05/08/2023,9836,7440
06/08/2023,9061,7920
07/08/2023,9540,8150
08/08/2023,9389,8430
09/08/2023,3608,8630
10/08/2023,4293,8130
11/08/2023,6983,7370
12/08/2023,14737,7300
13/08/2023,6080,8050
14/08/2023,9081,7860
15/08/2023,4437,7990
16/08/2023,8254,7640
17/08/2023,10851,7710
18/08/2023,9982,8340
19/08/2023,14287,8670
20/08/2023,4729,9800
21/08/2023,133,9300
22/08/2023,6405,9300
23/08/2023,8161,8730
24/08/2023,13530,8620
25/08/2023,16694,9120
26/08/2023,13879,10640
27/08/2023,16591,11290
28/08/2023,7319,12350
29/08/2023,5522,11850
30/08/2023,6518,10590
31/08/2023,11837,9780
01/09/2023,5578,9990
02/09/2023,15011,9550
03/09/2023,3263,10100
04/09/2023,7493,9420
05/09/2023,15927,9040
06/09/2023,9796,9730
07/09/2023,13523,9750
08/09/2023,4835,10510
09/09/2023,13186,9950
10/09/2023,1257,10280
11/09/2023,6174,9380
12/09/2023,7195,8740
13/09/2023,9178,8440
14/09/2023,7213,8520
15/09/2023,3972,8390
16/09/2023,20078,7510
17/09/2023,3299,8770
18/09/2023,11425,8230
19/09/2023,18249,8550
20/09/2023,6604,10490
21/09/2023,5398,10110
22/09/2023,8786,9170
23/09/2023,10957,9100
24/09/2023,7497,9290
25/09/2023,25443,12440
26/09/2023,11070,13740
27/09/2023,28974,13480
28/09/2023,13933,15030
29/09/2023,8218,14920
30/09/2023,14026,13580
01/10/2023,18764,13630
02/10/2023,9486,14660
03/10/2023,15662,14150
04/10/2023,238,14310
05/10/2023,14111,14310
06/10/2023,9438,14270
07/10/2023,13348,13310
08/10/2023,5491,13320
09/10/2023,417,12540
10/10/2023,8631,12540
11/10/2023,10644,11760
12/10/2023,12301,11540
13/10/2023,9477,11620
14/10/2023,21586,11410
15/10/2023,20754,12430
16/10/2023,10925,14100
17/10/2023,16348,13790
18/10/2023,10783,14050
19/10/2023,11223,13730
20/10/2023,8030,13230
21/10/2023,22327,12190
22/10/2023,13217,13210
23/10/2023,4849,13220
24/10/2023,7485,12390
25/10/2023,12458,11410
26/10/2023,14115,11520
27/10/2023,19380,12040
28/10/2023,2823,13510
29/10/2023,10794,12450
30/10/2023,17298,12130
31/10/2023,15620,12650
01/11/2023,6093,13250
02/11/2023,10757,12540
03/11/2023,10667,12190
04/11/2023,18506,12440
05/11/2023,9319,13050
06/11/2023,5718,12680
07/11/2023,2630,11290
08/11/2023,106,9560
09/11/2023,21492,9560
10/11/2023,10864,10760
11/11/2023,4776,10780
12/11/2023,8406,10180
13/11/2023,9448,9830
14/11/2023,15443,9760
15/11/2023,22425,9560
16/11/2023,6208,11560
17/11/2023,18808,11030
18/11/2023,38115,11810
19/11/2023,9085,13810
20/11/2023,16538,13340
21/11/2023,4956,13660
22/11/2023,15946,12790
23/11/2023,9717,13110
24/11/2023,20421,12770
25/11/2023,24315,13540
26/11/2023,7685,15540
27/11/2023,9321,14760
28/11/2023,6092,13680
29/11/2023,16496,12170
30/11/2023,2951,12610
01/12/2023,10087,11650
02/12/2023,1593,11340
03/12/2023,15631,9390
04/12/2023,4713,10020
05/12/2023,8105,9490
06/12/2023,21001,9220
07/12/2023,8137,10400
08/12/2023,6120,10180
09/12/2023,18472,9370
10/12/2023,16314,10280
11/12/2023,9269,11490
12/12/2023,7012,11270
13/12/2023,24279,10420
14/12/2023,13227,11810
15/12/2023,9694,12100
16/12/2023,16829,11860
17/12/2023,13234,12360
18/12/2023,20601,12540
19/12/2023,13177,14160
20/12/2023,16246,14070
21/12/2023,17225,9560
22/12/2023,16996,11100
23/12/2023,11152,12280
24/12/2023,13887,12170
25/12/2023,23474,12350
26/12/2023,6394,14350
27/12/2023,14765,13560
28/12/2023,6404,13680
29/12/2023,12561,12960
30/12/2023,7714,12880
31/12/2023,13762,11850
01/01/2024,21294,12050
02/01/2024,15900,13900
03/01/2024,17736,9560
04/01/2024,3869,11200
05/01/2024,5431,10470
06/01/2024,17689,9470
07/01/2024,7033,10300
08/01/2024,11615,9980
