Date,Active Calories,Resting Calories,Total
24/04/2023,269,2080,2349
25/04/2023,480,2080,2560
26/04/2023,210,2080,2290
27/04/2023,141,2080,2221
28/04/2023,15,2080,2095
29/04/2023,517,2080,2597
30/04/2023,135,2080,2215
01/05/2023,527,2080,2607
02/05/2023,250,2080,2330
03/05/2023,354,2080,2434
04/05/2023,213,2080,2293
05/05/2023,380,2080,2460
06/05/2023,2,2080,2082
07/05/2023,316,2080,2396
08/05/2023,8,2080,2088
09/05/2023,190,2080,2270
10/05/2023,570,2080,2650
11/05/2023,642,2080,2722
12/05/2023,49,2080,2129
13/05/2023,183,2080,2263
14/05/2023,187,2080,2267
15/05/2023,192,2080,2272
16/05/2023,213,2080,2293
17/05/2023,257,2080,2337
18/05/2023,312,2080,2392
19/05/2023,310,2080,2390
20/05/2023,557,2080,2637
21/05/2023,330,2080,2410
22/05/2023,841,2080,2921
23/05/2023,168,2080,2248
24/05/2023,312,2080,2392
25/05/2023,232,2080,2312
26/05/2023,435,2080,2515
27/05/2023,361,2080,2441
28/05/2023,620,2080,2700
29/05/2023,307,2080,2387
30/05/2023,13,2080,2093
31/05/2023,66,2080,2146
01/06/2023,1153,2080,3233
02/06/2023,156,2080,2236
03/06/2023,1714,2080,3794
04/06/2023,1037,2080,3117
05/06/2023,407,2080,2487
06/06/2023,452,2166,2618
07/06/2023,359,2080,2439
08/06/2023,95,2080,2175
09/06/2023,646,2080,2726
10/06/2023,203,2080,2283
11/06/2023,5,2080,2085
12/06/2023,307,2080,2387
13/06/2023,376,2080,2456
14/06/2023,552,2080,2632
15/06/2023,205,2080,2285
17/06/2023,467,2080,2547
18/06/2023,543,2080,2623
19/06/2023,169,2080,2249
20/06/2023,254,2080,2334
21/06/2023,289,2080,2369
22/06/2023,926,2080,3006
23/06/2023,472,2080,2552
24/06/2023,198,2080,2278
25/06/2023,244,2080,2324
26/06/2023,756,2080,2836
27/06/2023,1158,1993,3151
28/06/2023,868,2080,2948
29/06/2023,989,2080,3069
30/06/2023,521,2080,2601
01/07/2023,409,2080,2489
02/07/2023,617,2080,2697
03/07/2023,576,2080,2656
04/07/2023,464,2080,2544
05/07/2023,765,2080,2845
06/07/2023,262,2166,2428
07/07/2023,36,2080,2116
08/07/2023,330,2080,2410
09/07/2023,442,2080,2522
10/07/2023,112,2080,2192
11/07/2023,30,2080,2110
12/07/2023,227,2080,2307
13/07/2023,2461,2080,4541
14/07/2023,3137,2080,5217
15/07/2023,1448,2080,3528
16/07/2023,68,2080,2148
17/07/2023,32,2080,2112
18/07/2023,44,2080,2124
19/07/2023,137,2080,2217
20/07/2023,7,2080,2087
21/07/2023,51,2080,2131
22/07/2023,169,2080,2249
23/07/2023,269,2080,2349
24/07/2023,11,2080,2091
25/07/2023,577,2080,2657
26/07/2023,287,2080,2367
27/07/2023,168,2080,2248
28/07/2023,231,2080,2311
29/07/2023,189,2080,2269
30/07/2023,98,2080,2178
31/07/2023,36,2080,2116
01/08/2023,21,2080,2101
02/08/2023,697,2080,2777
03/08/2023,133,2080,2213
04/08/2023,200,2080,2280
05/08/2023,190,2080,2270
06/08/2023,215,2080,2295
07/08/2023,302,2080,2382
08/08/2023,301,2080,2381
09/08/2023,41,2080,2121
10/08/2023,62,2080,2142
11/08/2023,109,2080,2189
12/08/2023,779,2080,2859
13/08/2023,130,2080,2210
14/08/2023,229,2080,2309
15/08/2023,120,2080,2200
16/08/2023,146,2080,2226
17/08/2023,240,2080,2320
18/08/2023,185,2080,2265
19/08/2023,463,2080,2543
20/08/2023,81,2080,2161
21/08/2023,0,2080,2080
22/08/2023,86,2080,2166
23/08/2023,257,2080,2337
24/08/2023,421,2080,2501
25/08/2023,1455,2080,3535
26/08/2023,373,2080,2453
27/08/2023,553,2080,2633
28/08/2023,195,2080,2275
29/08/2023,117,2080,2197
30/08/2023,307,2080,2387
31/08/2023,331,2080,2411
01/09/2023,79,2080,2159
02/09/2023,713,2080,2793
03/09/2023,58,2080,2138
04/09/2023,220,2080,2300
05/09/2023,419,2080,2499
06/09/2023,269,2080,2349
07/09/2023,361,2080,2441
08/09/2023,75,2080,2155
09/09/2023,707,2080,2787
10/09/2023,10,2080,2090
11/09/2023,145,2080,2225
12/09/2023,121,2080,2201
13/09/2023,212,2080,2292
14/09/2023,62,2080,2142
15/09/2023,60,2080,2140
16/09/2023,953,2080,3033
17/09/2023,73,2080,2153
18/09/2023,236,2080,2316
19/09/2023,927,2080,3007
20/09/2023,58,2080,2138
21/09/2023,126,2080,2206
22/09/2023,178,2080,2258
23/09/2023,316,2080,2396
24/09/2023,75,2080,2155
25/09/2023,565,2080,2645
26/09/2023,282,2080,2362
27/09/2023,1558,2080,3638
28/09/2023,221,2080,2301
29/09/2023,161,2080,2241
30/09/2023,410,2080,2490
01/10/2023,485,2080,2565
02/10/2023,180,2080,2260
03/10/2023,733,2080,2813
04/10/2023,0,2080,2080
05/10/2023,365,2080,2445
06/10/2023,189,2080,2269
07/10/2023,394,2080,2474
08/10/2023,95,2080,2175
09/10/2023,1,2080,2081
10/10/2023,186,2080,2266
11/10/2023,282,2080,2362
12/10/2023,278,2080,2358
13/10/2023,172,2080,2252
14/10/2023,1111,2080,3191
15/10/2023,706,2080,2786
16/10/2023,342,2080,2422
17/10/2023,555,2080,2635
18/10/2023,278,2080,2358
19/10/2023,289,2080,2369
20/10/2023,152,2080,2232
21/10/2023,1014,2080,3094
22/10/2023,613,2080,2693
